,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma30,ma_v_30
0,601857.SH,20210323,4.35,4.35,4.31,4.32,4.36,-0.04,-0.9174,637297.53,275666.312,4.3443,1509612.3453
1,601857.SH,20210322,4.31,4.36,4.3,4.36,4.32,0.04,0.9259,751875.88,325738.439,4.3367,1509590.5363
2,601857.SH,20210319,4.32,4.36,4.3,4.32,4.41,-0.09,-2.0408,1461098.01,632201.307,4.3273,1510525.2773
3,601857.SH,20210318,4.43,4.44,4.41,4.41,4.44,-0.03,-0.6757,776133.8,343180.296,4.3197,1490405.3953
4,601857.SH,20210317,4.45,4.45,4.39,4.44,4.47,-0.03,-0.6711,928780.01,410329.613,4.3103,1491471.0903
5,601857.SH,20210316,4.49,4.5,4.44,4.47,4.51,-0.04,-0.8869,929659.05,414855.664,4.3007,1484541.6083
6,601857.SH,20210315,4.43,4.52,4.43,4.51,4.45,0.06,1.3483,1434318.47,644391.276,4.2903,1473723.601
7,601857.SH,20210312,4.46,4.48,4.41,4.45,4.44,0.01,0.2252,1081476.74,480526.34,4.2783,1452359.8843
8,601857.SH,20210311,4.42,4.45,4.39,4.44,4.39,0.05,1.139,1066022.0,471419.674,4.2693,1449173.408
9,601857.SH,20210310,4.46,4.47,4.39,4.39,4.47,-0.08,-1.7897,1169710.16,518078.26,4.263,1437561.8483
10,601857.SH,20210309,4.48,4.52,4.41,4.47,4.51,-0.04,-0.8869,1981756.68,884804.704,4.259,1425582.0553
11,601857.SH,20210308,4.53,4.58,4.49,4.51,4.42,0.09,2.0362,3174768.44,1442799.23,4.252,1384458.1137
12,601857.SH,20210305,4.39,4.43,4.34,4.42,4.33,0.09,2.0785,2121770.99,932162.55,4.2433,1308871.9497
13,601857.SH,20210304,4.32,4.37,4.31,4.33,4.31,0.02,0.464,1207978.48,523389.175,4.2387,1287077.751
14,601857.SH,20210303,4.28,4.33,4.26,4.31,4.27,0.04,0.9368,1037069.25,445787.367,4.2387,1289665.3373
15,601857.SH,20210302,4.34,4.35,4.26,4.27,4.37,-0.1,-2.2883,1581204.8,679085.001,4.2403,1316860.011
16,601857.SH,20210301,4.39,4.4,4.33,4.37,4.36,0.01,0.2294,1125001.73,490738.68,4.2417,1312116.1167
17,601857.SH,20210226,4.37,4.41,4.35,4.36,4.43,-0.07,-1.5801,1298608.43,568304.97,4.2367,1314496.529
18,601857.SH,20210225,4.43,4.5,4.41,4.43,4.36,0.07,1.6055,1903641.82,845552.669,4.2343,1322016.678
19,601857.SH,20210224,4.48,4.48,4.3,4.36,4.48,-0.12,-2.6786,2211931.4,972012.394,4.2283,1296256.995
20,601857.SH,20210223,4.51,4.54,4.45,4.48,4.45,0.03,0.6742,2623272.77,1178545.178,4.2247,1268747.667
21,601857.SH,20210222,4.34,4.53,4.33,4.45,4.32,0.13,3.0093,3600958.77,1599993.291,4.2147,1208589.1117
22,601857.SH,20210219,4.34,4.36,4.29,4.32,4.38,-0.06,-1.3699,2094405.42,905330.109,4.206,1120859.5237
23,601857.SH,20210218,4.43,4.48,4.35,4.38,4.2,0.18,4.2857,4537013.63,2006809.609,4.2003,1071467.372
24,601857.SH,20210210,4.16,4.22,4.15,4.2,4.17,0.03,0.7194,890650.07,373293.793,4.192,936904.4397
25,601857.SH,20210209,4.12,4.19,4.11,4.17,4.12,0.05,1.2136,1001747.73,416136.227,4.1897,932536.4403
26,601857.SH,20210208,4.1,4.12,4.08,4.12,4.09,0.03,0.7335,700484.15,287662.928,4.1887,924463.9147
27,601857.SH,20210205,4.1,4.11,4.07,4.09,4.09,0.0,0.0,604962.14,247240.992,4.1903,915175.4663
28,601857.SH,20210204,4.11,4.11,4.05,4.09,4.09,0.0,0.0,813472.4,331741.542,4.1927,913055.0237
29,601857.SH,20210203,4.11,4.12,4.08,4.09,4.09,0.0,0.0,541299.61,221481.936,4.1943,907866.9387
30,601857.SH,20210202,4.09,4.12,4.08,4.09,4.08,0.01,0.2451,636643.26,260867.507,4.196,923456.9993
31,601857.SH,20210201,4.09,4.1,4.06,4.08,4.09,-0.01,-0.2445,779918.11,317569.361,4.2013,926652.5103
32,601857.SH,20210129,4.13,4.13,4.08,4.09,4.13,-0.04,-0.9685,857501.55,351731.403,4.2073,933503.5493
33,601857.SH,20210128,4.14,4.15,4.11,4.13,4.15,-0.02,-0.4819,808104.65,333092.692,4.2117,930857.9337
34,601857.SH,20210127,4.16,4.18,4.14,4.15,4.16,-0.01,-0.2404,720895.55,299821.189,4.2123,918275.1353
35,601857.SH,20210126,4.14,4.18,4.13,4.16,4.15,0.01,0.241,605118.83,251736.167,4.2123,916938.0663
36,601857.SH,20210125,4.18,4.18,4.13,4.15,4.18,-0.03,-0.7177,793406.97,329259.583,4.2133,918288.832
37,601857.SH,20210122,4.25,4.26,4.18,4.18,4.25,-0.07,-1.6471,985882.45,414158.609,4.2157,922053.839
38,601857.SH,20210121,4.25,4.28,4.24,4.25,4.27,-0.02,-0.4684,717675.21,305833.117,4.216,910139.7737
39,601857.SH,20210120,4.27,4.31,4.23,4.27,4.26,0.01,0.2347,810316.37,345732.679,4.2137,906349.4923
40,601857.SH,20210119,4.25,4.29,4.24,4.26,4.25,0.01,0.2353,748038.43,318870.331,4.2117,899341.518
41,601857.SH,20210118,4.25,4.28,4.24,4.25,4.28,-0.03,-0.7009,907183.52,386260.371,4.211,902710.4067
42,601857.SH,20210115,4.35,4.37,4.27,4.28,4.33,-0.05,-1.1547,1467945.03,632946.484,4.2123,899513.5857
43,601857.SH,20210114,4.33,4.39,4.31,4.33,4.36,-0.03,-0.6881,1285606.07,558369.784,4.213,876116.226
44,601857.SH,20210113,4.31,4.4,4.29,4.36,4.31,0.05,1.1601,1852909.46,805044.706,4.212,861858.241
45,601857.SH,20210112,4.21,4.31,4.2,4.31,4.22,0.09,2.1327,1438887.97,613851.83,4.21,834727.265
46,601857.SH,20210111,4.29,4.3,4.21,4.22,4.29,-0.07,-1.6317,1196414.1,508870.834,4.21,850197.1827
47,601857.SH,20210108,4.25,4.3,4.24,4.29,4.25,0.04,0.9412,1524212.9,653176.211,4.2127,852039.3623
48,601857.SH,20210107,4.25,4.25,4.19,4.25,4.25,0.0,0.0,1130851.33,478465.595,4.2127,836274.95
49,601857.SH,20210106,4.2,4.26,4.2,4.25,4.18,0.07,1.6746,1386651.56,587466.028,4.2147,872842.1347
50,601857.SH,20210105,4.17,4.18,4.13,4.18,4.19,-0.01,-0.2387,818516.11,340130.522,4.2173,867363.4723
51,601857.SH,20210104,4.15,4.2,4.14,4.19,4.15,0.04,0.9639,969071.13,403962.846,4.2217,905715.7083
52,601857.SH,20201231,4.13,4.16,4.12,4.15,4.13,0.02,0.4843,612640.87,254098.06,4.2233,898639.6847
53,601857.SH,20201230,4.12,4.14,4.11,4.13,4.13,0.0,0.0,500125.66,206322.494,4.2263,902368.901
54,601857.SH,20201229,4.14,4.16,4.1,4.13,4.14,-0.01,-0.2415,759610.09,313543.583,4.2307,916230.8957
55,601857.SH,20201228,4.17,4.18,4.12,4.14,4.17,-0.03,-0.7194,759571.96,315104.362,4.2357,931532.958
56,601857.SH,20201225,4.15,4.18,4.14,4.17,4.16,0.01,0.2404,421830.7,175443.183,4.2393,939274.7967
57,601857.SH,20201224,4.16,4.17,4.13,4.16,4.14,0.02,0.4831,541348.86,224619.315,4.2397,951287.0763
58,601857.SH,20201223,4.14,4.16,4.13,4.14,4.14,0.0,0.0,657829.85,272628.921,4.2417,958737.3447
59,601857.SH,20201222,4.23,4.24,4.13,4.14,4.25,-0.11,-2.5882,1009001.43,421929.493,4.246,984227.8507
60,601857.SH,20201221,4.26,4.28,4.24,4.25,4.26,-0.01,-0.2347,732508.59,311918.919,4.248,1011395.4393
61,601857.SH,20201218,4.21,4.28,4.2,4.26,4.22,0.04,0.9479,985449.28,419055.57,4.2457,1029333.3527
62,601857.SH,20201217,4.16,4.22,4.14,4.22,4.15,0.07,1.6867,778133.08,325455.764,4.2413,1030215.7457
63,601857.SH,20201216,4.15,4.17,4.14,4.15,4.15,0.0,0.0,430620.7,178973.964,4.238,1029951.759
64,601857.SH,20201215,4.18,4.19,4.13,4.15,4.19,-0.04,-0.9547,680783.48,282327.032,4.2367,1035029.7203
65,601857.SH,20201214,4.2,4.24,4.17,4.19,4.22,-0.03,-0.7109,645641.8,270657.746,4.2357,1044233.154
66,601857.SH,20201211,4.22,4.24,4.19,4.22,4.19,0.03,0.716,906357.18,381705.91,4.2313,1044318.2727
67,601857.SH,20201210,4.18,4.21,4.18,4.19,4.18,0.01,0.2392,628460.49,263505.065,4.2263,1045937.182
68,601857.SH,20201209,4.21,4.23,4.18,4.18,4.21,-0.03,-0.7126,603966.77,254149.338,4.2217,1046179.5983
69,601857.SH,20201208,4.24,4.26,4.2,4.21,4.24,-0.03,-0.7075,600077.14,253462.734,4.2187,1043434.041
70,601857.SH,20201207,4.29,4.29,4.23,4.24,4.29,-0.05,-1.1655,849105.09,361182.048,4.215,1039363.934
71,601857.SH,20201204,4.3,4.31,4.26,4.29,4.3,-0.01,-0.2326,811278.89,347175.778,4.2107,1030333.743
72,601857.SH,20201203,4.31,4.33,4.28,4.3,4.3,0.0,0.0,766024.24,329827.581,4.205,1030313.5773
73,601857.SH,20201202,4.29,4.33,4.27,4.3,4.3,0.0,0.0,857866.52,369154.464,4.1983,1016583.836
74,601857.SH,20201201,4.28,4.32,4.25,4.3,4.31,-0.01,-0.232,1038980.18,445092.019,4.192,1004846.7333
75,601857.SH,20201130,4.31,4.37,4.27,4.31,4.3,0.01,0.2326,1902985.5,823167.615,4.1853,983083.5423
76,601857.SH,20201127,4.29,4.31,4.25,4.3,4.29,0.01,0.2331,1251679.49,534496.655,4.1787,944389.409
77,601857.SH,20201126,4.31,4.34,4.28,4.29,4.31,-0.02,-0.464,1051280.53,452717.113,4.1723,918508.878
78,601857.SH,20201125,4.38,4.44,4.31,4.31,4.33,-0.02,-0.4619,2227866.87,976343.587,4.1663,900453.4377
79,601857.SH,20201124,4.31,4.34,4.28,4.33,4.31,0.02,0.464,1222291.69,526655.837,4.1597,847915.4153
80,601857.SH,20201123,4.24,4.34,4.23,4.31,4.24,0.07,1.6509,1969083.19,845945.209,4.1537,821778.062
81,601857.SH,20201120,4.23,4.24,4.2,4.24,4.24,0.0,0.0,756790.42,319478.349,4.1493,787158.1993
82,601857.SH,20201119,4.25,4.26,4.22,4.24,4.26,-0.02,-0.4695,724517.36,307084.206,4.1457,779965.3773
83,601857.SH,20201118,4.26,4.29,4.24,4.26,4.28,-0.02,-0.4673,915985.5,390391.325,4.1413,776284.2683
84,601857.SH,20201117,4.26,4.32,4.24,4.28,4.25,0.03,0.7059,1218671.96,521329.417,4.1357,758277.6723
85,601857.SH,20201116,4.19,4.25,4.17,4.25,4.18,0.07,1.6746,991827.12,419208.29,4.1297,732217.549
86,601857.SH,20201113,4.21,4.22,4.16,4.18,4.22,-0.04,-0.9479,782199.09,326508.968,4.1243,711151.1657
87,601857.SH,20201112,4.26,4.27,4.22,4.22,4.27,-0.05,-1.171,764856.91,323769.511,4.1217,707042.2363
88,601857.SH,20201111,4.2,4.27,4.2,4.27,4.2,0.07,1.6667,1422545.03,604470.749,4.118,698835.3727
89,601857.SH,20201110,4.23,4.28,4.19,4.2,4.18,0.02,0.4785,1824029.09,773523.867,4.1137,678416.277
90,601857.SH,20201109,4.15,4.19,4.14,4.18,4.13,0.05,1.2107,1270645.99,529775.607,4.1153,638568.751
91,601857.SH,20201106,4.12,4.15,4.1,4.13,4.12,0.01,0.2427,1011921.07,418175.107,4.1183,626280.312
92,601857.SH,20201105,4.12,4.14,4.1,4.12,4.11,0.01,0.2433,770213.48,317069.85,4.1217,619932.5633
93,601857.SH,20201104,4.12,4.13,4.09,4.11,4.12,-0.01,-0.2427,582959.54,239444.17,4.126,617620.9093
94,601857.SH,20201103,4.07,4.14,4.06,4.12,4.06,0.06,1.4778,956886.49,392542.719,4.1303,612728.7587
95,601857.SH,20201102,4.06,4.08,4.04,4.06,4.07,-0.01,-0.2457,648195.36,262825.237,4.135,593725.736
96,601857.SH,20201030,4.08,4.11,4.06,4.07,4.05,0.02,0.4938,954924.46,390580.101,4.141,591177.027
97,601857.SH,20201029,4.07,4.07,4.04,4.05,4.09,-0.04,-0.978,635732.98,258052.697,4.1467,586330.0467
98,601857.SH,20201028,4.09,4.1,4.07,4.09,4.1,-0.01,-0.2439,521600.05,212998.544,4.1543,590203.8977
99,601857.SH,20201027,4.09,4.1,4.08,4.1,4.11,-0.01,-0.2433,477973.93,195633.837,4.1617,595561.538
100,601857.SH,20201026,4.11,4.12,4.09,4.11,4.12,-0.01,-0.2427,578199.36,237118.776,4.1677,600564.2403
101,601857.SH,20201023,4.1,4.15,4.1,4.12,4.1,0.02,0.4878,810673.92,334514.23,4.1743,605337.066
102,601857.SH,20201022,4.1,4.11,4.08,4.1,4.11,-0.01,-0.2433,354132.0,145000.94,4.1807,606527.9493
103,601857.SH,20201021,4.1,4.11,4.08,4.11,4.1,0.01,0.2439,505753.44,207199.091,4.189,630699.652
104,601857.SH,20201020,4.1,4.1,4.08,4.1,4.11,-0.01,-0.2433,386084.45,157965.483,4.199,637518.8353
105,601857.SH,20201019,4.11,4.15,4.1,4.11,4.11,0.0,0.0,742161.5,305774.817,4.21,645968.4527
106,601857.SH,20201016,4.11,4.13,4.1,4.11,4.11,0.0,0.0,475263.56,195560.639,4.2213,647701.322
107,601857.SH,20201015,4.1,4.12,4.09,4.11,4.11,0.0,0.0,509617.32,209334.928,4.232,647682.646
108,601857.SH,20201014,4.14,4.15,4.1,4.11,4.15,-0.04,-0.9639,651726.2,268204.517,4.2427,652611.6973
109,601857.SH,20201013,4.17,4.17,4.14,4.15,4.18,-0.03,-0.7177,438171.09,181802.773,4.254,649511.5953
110,601857.SH,20201012,4.13,4.19,4.12,4.18,4.13,0.05,1.2107,930487.31,386727.197,4.2643,655175.5527
111,601857.SH,20201009,4.12,4.14,4.12,4.13,4.11,0.02,0.4866,541005.76,223498.385,4.2737,643226.7387
112,601857.SH,20200930,4.09,4.12,4.07,4.11,4.09,0.02,0.489,614084.09,251664.119,4.2847,658956.52
113,601857.SH,20200929,4.11,4.11,4.09,4.09,4.1,-0.01,-0.2439,375787.62,154065.254,4.2983,671119.7223
114,601857.SH,20200928,4.09,4.13,4.09,4.1,4.09,0.01,0.2445,436868.26,179352.724,4.313,689701.9743
115,601857.SH,20200925,4.1,4.11,4.08,4.09,4.1,-0.01,-0.2439,359835.62,147172.405,4.3277,727902.249
116,601857.SH,20200924,4.1,4.11,4.07,4.1,4.11,-0.01,-0.2433,658931.21,269260.931,4.3407,737115.0313
117,601857.SH,20200923,4.14,4.15,4.11,4.11,4.14,-0.03,-0.7246,518651.0,213956.11,4.353,739448.5563
118,601857.SH,20200922,4.16,4.18,4.13,4.14,4.16,-0.02,-0.4808,809972.16,336639.397,4.3647,754891.498
119,601857.SH,20200921,4.28,4.28,4.25,4.25,4.27,-0.02,-0.4684,628603.31,268049.862,4.375,758654.9753
120,601857.SH,20200918,4.25,4.28,4.23,4.27,4.23,0.04,0.9456,901992.82,383406.758,4.3823,764071.1367
121,601857.SH,20200917,4.26,4.28,4.22,4.23,4.25,-0.02,-0.4706,821488.61,349003.033,4.3883,772657.3923
122,601857.SH,20200916,4.25,4.29,4.24,4.25,4.24,0.01,0.2358,700863.86,298688.609,4.3983,792445.9807
123,601857.SH,20200915,4.26,4.27,4.23,4.24,4.26,-0.02,-0.4695,436195.02,185322.839,4.4067,804988.751
124,601857.SH,20200914,4.25,4.27,4.24,4.26,4.24,0.02,0.4717,386795.81,164565.186,4.4163,836666.96
